probMove 0.02 time 3600 win rate 0.631578947368421 , total bet matches 95 , pnl 22.49999999999999 , per match return 0.23684210526315777
probMove 0.025 time 3600 win rate 0.6274509803921569 , total bet matches 51 , pnl 11.01 , per match return 0.21588235294117647
probMove 0.02 time 5400 win rate 0.6424581005586593 , total bet matches 179 , pnl 41.92999999999999 , per match return 0.2342458100558659
probMove 0.025 time 5400 win rate 0.6396396396396397 , total bet matches 111 , pnl 22.499999999999993 , per match return 0.20270270270270263
probMove 0.03 time 5400 win rate 0.6129032258064516 , total bet matches 62 , pnl 9.299999999999997 , per match return 0.14999999999999997
probMove 0.02 time 7200 win rate 0.5794392523364486 , total bet matches 321 , pnl 36.53 , per match return 0.1138006230529595
probMove 0.045 time 7200 win rate 0.6363636363636364 , total bet matches 66 , pnl 13.190000000000001 , per match return 0.19984848484848486
probMove 0.05 time 7200 win rate 0.6271186440677966 , total bet matches 59 , pnl 11.990000000000002 , per match return 0.2032203389830509
probMove 0.055 time 7200 win rate 0.6538461538461539 , total bet matches 52 , pnl 13.420000000000002 , per match return 0.2580769230769231
probMove 0.02 time 9000 win rate 0.5579514824797843 , total bet matches 371 , pnl 28.96 , per match return 0.07805929919137466
probMove 0.045 time 9000 win rate 0.6164383561643836 , total bet matches 73 , pnl 11.14 , per match return 0.1526027397260274
probMove 0.05 time 9000 win rate 0.6031746031746031 , total bet matches 63 , pnl 9.590000000000003 , per match return 0.1522222222222223
probMove 0.055 time 9000 win rate 0.6481481481481481 , total bet matches 54 , pnl 13.260000000000005 , per match return 0.24555555555555564
probMove 0.02 time 10800 win rate 0.5541561712846348 , total bet matches 397 , pnl 27.85 , per match return 0.07015113350125946
probMove 0.045 time 10800 win rate 0.6103896103896104 , total bet matches 77 , pnl 10.580000000000002 , per match return 0.13740259740259742
probMove 0.05 time 10800 win rate 0.6119402985074627 , total bet matches 67 , pnl 10.68 , per match return 0.15940298507462686
probMove 0.055 time 10800 win rate 0.6491228070175439 , total bet matches 57 , pnl 13.68 , per match return 0.24
probMove 0.045 time 12600 win rate 0.6075949367088608 , total bet matches 79 , pnl 10.110000000000003 , per match return 0.12797468354430383
probMove 0.05 time 12600 win rate 0.6086956521739131 , total bet matches 69 , pnl 10.21 , per match return 0.14797101449275363
probMove 0.055 time 12600 win rate 0.6379310344827587 , total bet matches 58 , pnl 12.68 , per match return 0.2186206896551724
probMove 0.045 time 14400 win rate 0.6125 , total bet matches 80 , pnl 11.510000000000002 , per match return 0.14387500000000003
probMove 0.05 time 14400 win rate 0.6086956521739131 , total bet matches 69 , pnl 10.21 , per match return 0.14797101449275363
probMove 0.055 time 14400 win rate 0.6379310344827587 , total bet matches 58 , pnl 12.68 , per match return 0.2186206896551724
probMove 0.045 time 16200 win rate 0.6172839506172839 , total bet matches 81 , pnl 13.04 , per match return 0.16098765432098763
probMove 0.05 time 16200 win rate 0.6086956521739131 , total bet matches 69 , pnl 10.090000000000003 , per match return 0.14623188405797105
probMove 0.055 time 16200 win rate 0.6379310344827587 , total bet matches 58 , pnl 12.559999999999999 , per match return 0.216551724137931
probMove 0.06 time 16200 win rate 0.6274509803921569 , total bet matches 51 , pnl 10.520000000000001 , per match return 0.2062745098039216
probMove 0.045 time 18000 win rate 0.6024096385542169 , total bet matches 83 , pnl 11.040000000000003 , per match return 0.13301204819277113
probMove 0.05 time 18000 win rate 0.5915492957746479 , total bet matches 71 , pnl 8.09 , per match return 0.11394366197183098
probMove 0.055 time 18000 win rate 0.6379310344827587 , total bet matches 58 , pnl 12.559999999999999 , per match return 0.216551724137931
probMove 0.06 time 18000 win rate 0.6274509803921569 , total bet matches 51 , pnl 10.520000000000001 , per match return 0.2062745098039216
probMove 0.045 time 19800 win rate 0.6162790697674418 , total bet matches 86 , pnl 13.100000000000001 , per match return 0.15232558139534885
probMove 0.05 time 19800 win rate 0.6081081081081081 , total bet matches 74 , pnl 10.150000000000002 , per match return 0.1371621621621622
